	10		20		30		40		60		80		100		140		200		300
49	0.719	0.796	0.841	0.870	0.898	0.917	0.938	0.964	0.992	1.005
50	0.715	0.794	0.837	0.866	0.894	0.914	0.934	0.960	0.989	1.002
55	0.697	0.774	0.820	0.848	0.879	0.898	0.921	0.948	0.977	0.992
60	0.679	0.758	0.802	0.830	0.862	0.884	0.907	0.935	0.965	0.982
65	0.664	0.738	0.785	0.812	0.846	0.870	0.893	0.921	0.953	0.970
70	0.649	0.722	0.766	0.797	0.831	0.855	0.879	0.908	0.941	0.959
75	0.633	0.706	0.749	0.779	0.815	0.840	0.865	0.896	0.929	0.949
80	0.617	0.689	0.733	0.763	0.799	0.826	0.850	0.882	0.916	0.937
85	0.603	0.675	0.716	0.744	0.784	0.810	0.836	0.868	0.904	0.926
90	0.588	0.656	0.700	0.729	0.769	0.794	0.821	0.855	0.892	0.914
95	0.576	0.644	0.685	0.712	0.752	0.781	0.809	0.842	0.879	0.903
100	0.562	0.626	0.667	0.698	0.736	0.766	0.794	0.829	0.867	0.891
105	0.547	0.612	0.655	0.683	0.724	0.753	0.779	0.817	0.854	0.879
110	0.535	0.599	0.639	0.667	0.708	0.738	0.766	0.803	0.842	0.869
115	0.521	0.585	0.624	0.652	0.694	0.724	0.752	0.789	0.830	0.856
120	0.510	0.571	0.608	0.638	0.679	0.710	0.740	0.777	0.818	0.845
125	0.497	0.558	0.596	0.626	0.666	0.697	0.725	0.765	0.805	0.834
130	0.484	0.545	0.582	0.610	0.651	0.683	0.713	0.752	0.792	0.822
135	0.474	0.531	0.569	0.597	0.638	0.669	0.700	0.739	0.782	0.810
140	0.463	0.519	0.557	0.583	0.625	0.655	0.686	0.727	0.769	0.800
145	0.452	0.506	0.544	0.569	0.612	0.643	0.673	0.714	0.758	0.789
150	0.442	0.495	0.532	0.558	0.600	0.630	0.659	0.701	0.746	0.778
155	0.430	0.484	0.519	0.545	0.586	0.618	0.647	0.689	0.733	0.766
160	0.420	0.474	0.506	0.532	0.574	0.605	0.634	0.676	0.722	0.756
165	0.411	0.462	0.496	0.521	0.561	0.593	0.623	0.664	0.710	0.744
170	0.401	0.450	0.484	0.509	0.550	0.580	0.610	0.653	0.698	0.733
175	0.392	0.440	0.475	0.498	0.538	0.568	0.598	0.640	0.687	0.722
180	0.383	0.430	0.462	0.486	0.527	0.557	0.586	0.629	0.676	0.711
185	0.374	0.420	0.453	0.476	0.516	0.546	0.575	0.617	0.664	0.701
190	0.367	0.410	0.443	0.466	0.504	0.534	0.564	0.607	0.653	0.689
195	0.358	0.400	0.433	0.455	0.494	0.523	0.553	0.595	0.642	0.679
200	0.350	0.391	0.424	0.443	0.483	0.513	0.542	0.584	0.632	0.669
205	0.342	0.384	0.414	0.435	0.473	0.502	0.531	0.574	0.621	0.658
210	0.333	0.374	0.404	0.426	0.462	0.491	0.522	0.563	0.609	0.648
215	0.325	0.366	0.395	0.416	0.453	0.482	0.511	0.553	0.600	0.638
220	0.318	0.357	0.385	0.407	0.443	0.472	0.501	0.543	0.589	0.627
225	0.311	0.350	0.376	0.398	0.434	0.462	0.491	0.531	0.579	0.618
230	0.305	0.341	0.369	0.389	0.425	0.453	0.481	0.522	0.568	0.608
235	0.297	0.334	0.362	0.382	0.416	0.443	0.472	0.512	0.559	0.599
240	0.291	0.327	0.353	0.373	0.407	0.433	0.461	0.503	0.549	0.589
245	0.285	0.319	0.345	0.364	0.398	0.425	0.453	0.494	0.539	0.580
250	0.277	0.313	0.336	0.356	0.390	0.416	0.444	0.483	0.531	0.570
255	0.272	0.306	0.329	0.349	0.382	0.408	0.435	0.474	0.521	0.561
260	0.265	0.299	0.322	0.341	0.374	0.400	0.426	0.465	0.512	0.552
265	0.260	0.292	0.316	0.333	0.366	0.392	0.418	0.457	0.503	0.543
270	0.255	0.285	0.307	0.326	0.358	0.383	0.409	0.449	0.494	0.533
275	0.249	0.278	0.302	0.319	0.351	0.376	0.401	0.440	0.485	0.525
280	0.242	0.273	0.297	0.312	0.343	0.368	0.393	0.431	0.477	0.516
285	0.238	0.267	0.289	0.304	0.336	0.360	0.385	0.423	0.469	0.508
290	0.232	0.260	0.282	0.298	0.328	0.353	0.377	0.416	0.460	0.500
295	0.228	0.255	0.275	0.292	0.321	0.346	0.370	0.407	0.452	0.492
300	0.220	0.249	0.270	0.286	0.315	0.339	0.363	0.400	0.444	0.484
305	0.217	0.243	0.264	0.280	0.308	0.332	0.355	0.393	0.437	0.475
310	0.213	0.238	0.260	0.272	0.302	0.325	0.349	0.385	0.428	0.467
315	0.207	0.233	0.254	0.267	0.296	0.318	0.342	0.378	0.421	0.459
320	0.202	0.228	0.247	0.262	0.289	0.312	0.335	0.370	0.413	0.452
325	0.197	0.224	0.243	0.256	0.284	0.306	0.328	0.363	0.406	0.444
330	0.194	0.219	0.237	0.250	0.278	0.300	0.321	0.357	0.399	0.436
335	0.189	0.214	0.232	0.246	0.272	0.293	0.316	0.349	0.392	0.429
340	0.185	0.208	0.227	0.240	0.266	0.287	0.310	0.342	0.384	0.422
345	0.181	0.205	0.223	0.234	0.261	0.282	0.303	0.336	0.378	0.415
350	0.178	0.199	0.218	0.230	0.255	0.277	0.297	0.330	0.371	0.408
